timestamp,cpu_percent,ram_mb,temp_c,bitrate_kbps,fps_real,frames_skipped
18:39:58,42.0,1796,60.9,0,0,0
18:40:07,61.2,1806,60.4,2491,28.2,0
18:40:15,50.0,1799,60.9,2822,31.6,0
18:40:24,51.0,1797,60.4,2505,28.1,0
18:40:32,58.7,1808,60.9,2810,31.6,0
18:40:41,50.0,1795,61.5,2499,28.2,0
18:40:49,63.6,1805,60.4,2822,31.6,0
18:40:57,56.2,1790,59.3,2836,31.6,0
18:41:06,47.8,1804,61.5,2534,28.2,0
18:41:14,57.4,1793,60.4,2842,31.6,0
18:41:23,45.8,1799,60.4,2528,28.2,0
18:41:31,59.6,1793,60.4,2822,31.6,0
18:41:40,46.7,1802,60.4,2530,28.2,0
18:41:48,59.6,1790,59.8,2805,31.6,0
18:41:57,48.9,1808,62.0,2504,28.2,0
18:42:05,51.1,1785,61.5,2824,31.7,0
18:42:13,57.4,1799,61.5,2820,31.6,0
18:42:22,52.1,1783,60.9,2519,28.2,0
18:42:30,60.0,1793,59.8,2822,31.7,0
18:42:39,57.8,1787,61.5,2503,28.2,0
18:42:47,54.3,1802,60.4,2835,31.7,0
18:42:56,54.3,1793,60.9,2504,28.1,0
18:43:04,51.1,1797,60.4,2815,31.8,0
18:43:13,52.1,1792,60.9,2523,28.2,0
18:43:21,55.8,1800,60.9,2823,31.7,0
18:43:30,47.8,1789,59.8,2523,28.2,0
18:43:38,50.0,1806,62.0,2812,31.6,0
18:43:47,55.3,1802,60.9,2482,28.1,0
18:43:55,53.1,1809,62.0,2836,31.7,0
18:44:03,62.5,1798,62.0,2804,31.5,0
18:44:12,45.8,1799,61.5,2501,28.2,0
18:44:20,48.9,1795,61.5,2825,31.6,0
18:44:29,55.6,1803,61.5,2484,28.1,0
18:44:37,51.0,1793,60.4,2806,31.6,0
18:44:46,44.7,1806,61.5,2511,28.1,0
18:44:54,55.6,1802,62.0,2814,31.7,0

# RESUMEN
# Muestras,36
# CPU_media,53.1
# CPU_min,42.0
# CPU_max,63.6
# RAM_media,1797
# RAM_min,1783
# RAM_max,1809
# Temp_media,60.9
# Temp_min,59.3
# Temp_max,62.0
# Bitrate_media,2603
# Bitrate_max,2842
# FPS_media,29.2
